空港・海港,国籍・地域,入国,alpha-3,lat,lon,年度
博多港,香港,0.0,HKG,33.605133,130.397414,2013
その他,香港,2.0,HKG,,,2013
新千歳空港,中国,102.0,CHN,42.775,141.692222,2013
仙台空港,中国,17.0,CHN,38.136944,140.9225,2013
新潟空港,中国,9.0,CHN,37.955833,139.120556,2013
東京国際空港（羽田空港）,中国,351.0,CHN,35.553333,139.781111,2013
成田国際空港,中国,1748.0,CHN,35.765278,140.385556,2013
中部国際空港,中国,304.0,CHN,34.858333,136.805278,2013
関西国際空港,中国,1156.0,CHN,34.434167,135.232778,2013
広島空港,中国,33.0,CHN,34.436111,132.919444,2013
福岡空港,中国,147.0,CHN,33.584444,130.451667,2013
那覇空港,中国,64.0,CHN,26.205556,127.650833,2013
博多港,中国,2.0,CHN,33.605133,130.397414,2013
その他,中国,35.0,CHN,,,2013
新千歳空港,タイ,109.0,THA,42.775,141.692222,2013
仙台空港,タイ,1.0,THA,38.136944,140.9225,2013
新潟空港,タイ,0.0,THA,37.955833,139.120556,2013
東京国際空港（羽田空港）,タイ,23.0,THA,35.553333,139.781111,2013
成田国際空港,タイ,621.0,THA,35.765278,140.385556,2013
中部国際空港,タイ,47.0,THA,34.858333,136.805278,2013
関西国際空港,タイ,274.0,THA,34.434167,135.232778,2013
広島空港,タイ,2.0,THA,34.436111,132.919444,2013
福岡空港,タイ,62.0,THA,33.584444,130.451667,2013
那覇空港,タイ,1.0,THA,26.205556,127.650833,2013
博多港,タイ,0.0,THA,33.605133,130.397414,2013
その他,タイ,5.0,THA,,,2013
新千歳空港,シンガポール,15.0,SGP,42.775,141.692222,2013
仙台空港,シンガポール,0.0,SGP,38.136944,140.9225,2013
新潟空港,シンガポール,0.0,SGP,37.955833,139.120556,2013
東京国際空港（羽田空港）,シンガポール,46.0,SGP,35.553333,139.781111,2013
成田国際空港,シンガポール,474.0,SGP,35.765278,140.385556,2013
中部国際空港,シンガポール,8.0,SGP,34.858333,136.805278,2013
関西国際空港,シンガポール,52.0,SGP,34.434167,135.232778,2013
広島空港,シンガポール,0.0,SGP,34.436111,132.919444,2013
福岡空港,シンガポール,23.0,SGP,33.584444,130.451667,2013
那覇空港,シンガポール,4.0,SGP,26.205556,127.650833,2013
博多港,シンガポール,0.0,SGP,33.605133,130.397414,2013
その他,シンガポール,0.0,SGP,,,2013
新千歳空港,マレーシア,9.0,MYS,42.775,141.692222,2013
仙台空港,マレーシア,2.0,MYS,38.136944,140.9225,2013
新潟空港,マレーシア,0.0,MYS,37.955833,139.120556,2013
東京国際空港（羽田空港）,マレーシア,3.0,MYS,35.553333,139.781111,2013
成田国際空港,マレーシア,338.0,MYS,35.765278,140.385556,2013
中部国際空港,マレーシア,10.0,MYS,34.858333,136.805278,2013
関西国際空港,マレーシア,127.0,MYS,34.434167,135.232778,2013
広島空港,マレーシア,0.0,MYS,34.436111,132.919444,2013
福岡空港,マレーシア,13.0,MYS,33.584444,130.451667,2013
那覇空港,マレーシア,2.0,MYS,26.205556,127.650833,2013
博多港,マレーシア,0.0,MYS,33.605133,130.397414,2013
その他,マレーシア,3.0,MYS,,,2013
新千歳空港,インド,1.0,IND,42.775,141.692222,2013
仙台空港,インド,0.0,IND,38.136944,140.9225,2013
新潟空港,インド,1.0,IND,37.955833,139.120556,2013
東京国際空港（羽田空港）,インド,18.0,IND,35.553333,139.781111,2013
成田国際空港,インド,522.0,IND,35.765278,140.385556,2013
中部国際空港,インド,26.0,IND,34.858333,136.805278,2013
関西国際空港,インド,89.0,IND,34.434167,135.232778,2013
広島空港,インド,0.0,IND,34.436111,132.919444,2013
福岡空港,インド,5.0,IND,33.584444,130.451667,2013
那覇空港,インド,0.0,IND,26.205556,127.650833,2013
博多港,インド,3.0,IND,33.605133,130.397414,2013
その他,インド,8.0,IND,,,2013
新千歳空港,英国,2.0,GBR,42.775,141.692222,2013
仙台空港,英国,0.0,GBR,38.136944,140.9225,2013
新潟空港,英国,0.0,GBR,37.955833,139.120556,2013
東京国際空港（羽田空港）,英国,51.0,GBR,35.553333,139.781111,2013
成田国際空港,英国,682.0,GBR,35.765278,140.385556,2013
中部国際空港,英国,19.0,GBR,34.858333,136.805278,2013
関西国際空港,英国,57.0,GBR,34.434167,135.232778,2013
広島空港,英国,0.0,GBR,34.436111,132.919444,2013
福岡空港,英国,10.0,GBR,33.584444,130.451667,2013
那覇空港,英国,0.0,GBR,26.205556,127.650833,2013
博多港,英国,0.0,GBR,33.605133,130.397414,2013
その他,英国,5.0,GBR,,,2013
新千歳空港,ドイツ,2.0,DEU,42.775,141.692222,2013
仙台空港,ドイツ,0.0,DEU,38.136944,140.9225,2013
新潟空港,ドイツ,0.0,DEU,37.955833,139.120556,2013
東京国際空港（羽田空港）,ドイツ,31.0,DEU,35.553333,139.781111,2013
成田国際空港,ドイツ,461.0,DEU,35.765278,140.385556,2013
中部国際空港,ドイツ,40.0,DEU,34.858333,136.805278,2013
関西国際空港,ドイツ,120.0,DEU,34.434167,135.232778,2013
広島空港,ドイツ,0.0,DEU,34.436111,132.919444,2013
福岡空港,ドイツ,9.0,DEU,33.584444,130.451667,2013
那覇空港,ドイツ,0.0,DEU,26.205556,127.650833,2013
博多港,ドイツ,0.0,DEU,33.605133,130.397414,2013
その他,ドイツ,4.0,DEU,,,2013
新千歳空港,フランス,0.0,FRA,42.775,141.692222,2013
仙台空港,フランス,0.0,FRA,38.136944,140.9225,2013
新潟空港,フランス,0.0,FRA,37.955833,139.120556,2013
東京国際空港（羽田空港）,フランス,37.0,FRA,35.553333,139.781111,2013
成田国際空港,フランス,427.0,FRA,35.765278,140.385556,2013
中部国際空港,フランス,12.0,FRA,34.858333,136.805278,2013
関西国際空港,フランス,95.0,FRA,34.434167,135.232778,2013
広島空港,フランス,0.0,FRA,34.436111,132.919444,2013
福岡空港,フランス,7.0,FRA,33.584444,130.451667,2013
那覇空港,フランス,0.0,FRA,26.205556,127.650833,2013
博多港,フランス,1.0,FRA,33.605133,130.397414,2013
その他,フランス,0.0,FRA,,,2013
新千歳空港,ロシア,13.0,RUS,42.775,141.692222,2013
仙台空港,ロシア,2.0,RUS,38.136944,140.9225,2013
新潟空港,ロシア,3.0,RUS,37.955833,139.120556,2013
東京国際空港（羽田空港）,ロシア,5.0,RUS,35.553333,139.781111,2013
成田国際空港,ロシア,502.0,RUS,35.765278,140.385556,2013
中部国際空港,ロシア,3.0,RUS,34.858333,136.805278,2013
関西国際空港,ロシア,17.0,RUS,34.434167,135.232778,2013
広島空港,ロシア,0.0,RUS,34.436111,132.919444,2013
福岡空港,ロシア,2.0,RUS,33.584444,130.451667,2013
那覇空港,ロシア,0.0,RUS,26.205556,127.650833,2013
博多港,ロシア,0.0,RUS,33.605133,130.397414,2013
その他,ロシア,10.0,RUS,,,2013
新千歳空港,米国,6.0,USA,42.775,141.692222,2013
仙台空港,米国,1.0,USA,38.136944,140.9225,2013
新潟空港,米国,1.0,USA,37.955833,139.120556,2013
東京国際空港（羽田空港）,米国,108.0,USA,35.553333,139.781111,2013
成田国際空港,米国,2237.0,USA,35.765278,140.385556,2013
中部国際空港,米国,69.0,USA,34.858333,136.805278,2013
関西国際空港,米国,377.0,USA,34.434167,135.232778,2013
広島空港,米国,3.0,USA,34.436111,132.919444,2013
福岡空港,米国,30.0,USA,33.584444,130.451667,2013
那覇空港,米国,18.0,USA,26.205556,127.650833,2013
博多港,米国,1.0,USA,33.605133,130.397414,2013
その他,米国,22.0,USA,,,2013
新千歳空港,カナダ,4.0,CAN,42.775,141.692222,2013
仙台空港,カナダ,0.0,CAN,38.136944,140.9225,2013
新潟空港,カナダ,0.0,CAN,37.955833,139.120556,2013
東京国際空港（羽田空港）,カナダ,13.0,CAN,35.553333,139.781111,2013
成田国際空港,カナダ,580.0,CAN,35.765278,140.385556,2013
中部国際空港,カナダ,3.0,CAN,34.858333,136.805278,2013
関西国際空港,カナダ,39.0,CAN,34.434167,135.232778,2013
広島空港,カナダ,1.0,CAN,34.436111,132.919444,2013
福岡空港,カナダ,3.0,CAN,33.584444,130.451667,2013
那覇空港,カナダ,5.0,CAN,26.205556,127.650833,2013
博多港,カナダ,0.0,CAN,33.605133,130.397414,2013
その他,カナダ,1.0,CAN,,,2013
新千歳空港,オーストラリア,12.0,AUS,42.775,141.692222,2013
仙台空港,オーストラリア,0.0,AUS,38.136944,140.9225,2013
新潟空港,オーストラリア,1.0,AUS,37.955833,139.120556,2013
東京国際空港（羽田空港）,オーストラリア,32.0,AUS,35.553333,139.781111,2013
成田国際空港,オーストラリア,672.0,AUS,35.765278,140.385556,2013
中部国際空港,オーストラリア,13.0,AUS,34.858333,136.805278,2013
関西国際空港,オーストラリア,107.0,AUS,34.434167,135.232778,2013
広島空港,オーストラリア,2.0,AUS,34.436111,132.919444,2013
福岡空港,オーストラリア,7.0,AUS,33.584444,130.451667,2013
那覇空港,オーストラリア,5.0,AUS,26.205556,127.650833,2013
博多港,オーストラリア,0.0,AUS,33.605133,130.397414,2013
その他,オーストラリア,3.0,AUS,,,2013
新千歳空港,その他,2.0,,42.775,141.692222,2013
仙台空港,その他,3.0,,38.136944,140.9225,2013
新潟空港,その他,0.0,,37.955833,139.120556,2013
東京国際空港（羽田空港）,その他,26.0,,35.553333,139.781111,2013
成田国際空港,その他,420.0,,35.765278,140.385556,2013
中部国際空港,その他,141.0,,34.858333,136.805278,2013
関西国際空港,その他,265.0,,34.434167,135.232778,2013
広島空港,その他,2.0,,34.436111,132.919444,2013
福岡空港,その他,46.0,,33.584444,130.451667,2013
那覇空港,その他,3.0,,26.205556,127.650833,2013
博多港,その他,0.0,,33.605133,130.397414,2013
その他,その他,19.0,,,,2013
新千歳空港,全体,1155.0,,42.775,141.692222,2014
仙台空港,全体,82.0,,38.136944,140.9225,2014
東京国際空港（羽田空港）,全体,3160.0,,35.553333,139.781111,2014
成田国際空港,全体,11822.0,,35.765278,140.385556,2014
中部国際空港,全体,1460.0,,34.858333,136.805278,2014
関西国際空港,全体,6159.0,,34.434167,135.232778,2014
広島空港,全体,138.0,,34.436111,132.919444,2014
高松空港,全体,76.0,,34.214167,134.015556,2014
福岡空港,全体,1741.0,,33.584444,130.451667,2014
那覇空港,全体,966.0,,26.205556,127.650833,2014
博多港,全体,549.0,,33.605133,130.397414,2014
その他,全体,357.0,,,,2014
新千歳空港,韓国,301.0,KOR,42.775,141.692222,2014
仙台空港,韓国,34.0,KOR,38.136944,140.9225,2014
東京国際空港（羽田空港）,韓国,904.0,KOR,35.553333,139.781111,2014
成田国際空港,韓国,1029.0,KOR,35.765278,140.385556,2014
中部国際空港,韓国,244.0,KOR,34.858333,136.805278,2014
関西国際空港,韓国,1625.0,KOR,34.434167,135.232778,2014
広島空港,韓国,26.0,KOR,34.436111,132.919444,2014
高松空港,韓国,26.0,KOR,34.214167,134.015556,2014
福岡空港,韓国,1017.0,KOR,33.584444,130.451667,2014
那覇空港,韓国,266.0,KOR,26.205556,127.650833,2014
博多港,韓国,539.0,KOR,33.605133,130.397414,2014
その他,韓国,38.0,KOR,,,2014
新千歳空港,台湾,354.0,TWN,42.775,141.692222,2014
仙台空港,台湾,31.0,TWN,38.136944,140.9225,2014
東京国際空港（羽田空港）,台湾,556.0,TWN,35.553333,139.781111,2014
成田国際空港,台湾,1176.0,TWN,35.765278,140.385556,2014
中部国際空港,台湾,220.0,TWN,34.858333,136.805278,2014
関西国際空港,台湾,1075.0,TWN,34.434167,135.232778,2014
広島空港,台湾,26.0,TWN,34.436111,132.919444,2014
高松空港,台湾,16.0,TWN,34.214167,134.015556,2014
福岡空港,台湾,311.0,TWN,33.584444,130.451667,2014
那覇空港,台湾,326.0,TWN,26.205556,127.650833,2014
博多港,台湾,1.0,TWN,33.605133,130.397414,2014
その他,台湾,117.0,TWN,,,2014
新千歳空港,香港,142.0,HKG,42.775,141.692222,2014
仙台空港,香港,0.0,HKG,38.136944,140.9225,2014
東京国際空港（羽田空港）,香港,111.0,HKG,35.553333,139.781111,2014
成田国際空港,香港,406.0,HKG,35.765278,140.385556,2014
中部国際空港,香港,87.0,HKG,34.858333,136.805278,2014
関西国際空港,香港,356.0,HKG,34.434167,135.232778,2014
広島空港,香港,1.0,HKG,34.436111,132.919444,2014
高松空港,香港,1.0,HKG,34.214167,134.015556,2014
福岡空港,香港,77.0,HKG,33.584444,130.451667,2014
那覇空港,香港,154.0,HKG,26.205556,127.650833,2014
博多港,香港,2.0,HKG,33.605133,130.397414,2014
その他,香港,6.0,HKG,,,2014
新千歳空港,中国,216.0,CHN,42.775,141.692222,2014
仙台空港,中国,14.0,CHN,38.136944,140.9225,2014
東京国際空港（羽田空港）,中国,612.0,CHN,35.553333,139.781111,2014
成田国際空港,中国,3097.0,CHN,35.765278,140.385556,2014
中部国際空港,中国,623.0,CHN,34.858333,136.805278,2014
関西国際空港,中国,1684.0,CHN,34.434167,135.232778,2014
広島空港,中国,71.0,CHN,34.436111,132.919444,2014
高松空港,中国,31.0,CHN,34.214167,134.015556,2014
福岡空港,中国,219.0,CHN,33.584444,130.451667,2014
那覇空港,中国,209.0,CHN,26.205556,127.650833,2014
博多港,中国,3.0,CHN,33.605133,130.397414,2014
その他,中国,152.0,CHN,,,2014
新千歳空港,タイ,75.0,THA,42.775,141.692222,2014
仙台空港,タイ,0.0,THA,38.136944,140.9225,2014
東京国際空港（羽田空港）,タイ,70.0,THA,35.553333,139.781111,2014
成田国際空港,タイ,313.0,THA,35.765278,140.385556,2014
中部国際空港,タイ,48.0,THA,34.858333,136.805278,2014
関西国際空港,タイ,132.0,THA,34.434167,135.232778,2014
広島空港,タイ,3.0,THA,34.436111,132.919444,2014
高松空港,タイ,0.0,THA,34.214167,134.015556,2014
福岡空港,タイ,41.0,THA,33.584444,130.451667,2014
那覇空港,タイ,0.0,THA,26.205556,127.650833,2014
博多港,タイ,0.0,THA,33.605133,130.397414,2014
その他,タイ,0.0,THA,,,2014
新千歳空港,シンガポール,9.0,SGP,42.775,141.692222,2014
仙台空港,シンガポール,0.0,SGP,38.136944,140.9225,2014
東京国際空港（羽田空港）,シンガポール,97.0,SGP,35.553333,139.781111,2014
成田国際空港,シンガポール,242.0,SGP,35.765278,140.385556,2014
中部国際空港,シンガポール,9.0,SGP,34.858333,136.805278,2014
関西国際空港,シンガポール,86.0,SGP,34.434167,135.232778,2014
広島空港,シンガポール,2.0,SGP,34.436111,132.919444,2014
高松空港,シンガポール,0.0,SGP,34.214167,134.015556,2014
福岡空港,シンガポール,20.0,SGP,33.584444,130.451667,2014
那覇空港,シンガポール,1.0,SGP,26.205556,127.650833,2014
博多港,シンガポール,0.0,SGP,33.605133,130.397414,2014
その他,シンガポール,3.0,SGP,,,2014
新千歳空港,マレーシア,4.0,MYS,42.775,141.692222,2014
仙台空港,マレーシア,1.0,MYS,38.136944,140.9225,2014
東京国際空港（羽田空港）,マレーシア,34.0,MYS,35.553333,139.781111,2014
成田国際空港,マレーシア,471.0,MYS,35.765278,140.385556,2014
中部国際空港,マレーシア,50.0,MYS,34.858333,136.805278,2014
関西国際空港,マレーシア,243.0,MYS,34.434167,135.232778,2014
広島空港,マレーシア,0.0,MYS,34.436111,132.919444,2014
高松空港,マレーシア,0.0,MYS,34.214167,134.015556,2014
福岡空港,マレーシア,7.0,MYS,33.584444,130.451667,2014
那覇空港,マレーシア,0.0,MYS,26.205556,127.650833,2014
博多港,マレーシア,0.0,MYS,33.605133,130.397414,2014
その他,マレーシア,3.0,MYS,,,2014
新千歳空港,インドネシア,2.0,IDN,42.775,141.692222,2014
仙台空港,インドネシア,0.0,IDN,38.136944,140.9225,2014
東京国際空港（羽田空港）,インドネシア,58.0,IDN,35.553333,139.781111,2014
成田国際空港,インドネシア,421.0,IDN,35.765278,140.385556,2014
中部国際空港,インドネシア,18.0,IDN,34.858333,136.805278,2014
関西国際空港,インドネシア,212.0,IDN,34.434167,135.232778,2014
広島空港,インドネシア,1.0,IDN,34.436111,132.919444,2014
高松空港,インドネシア,0.0,IDN,34.214167,134.015556,2014
福岡空港,インドネシア,3.0,IDN,33.584444,130.451667,2014
那覇空港,インドネシア,0.0,IDN,26.205556,127.650833,2014
博多港,インドネシア,0.0,IDN,33.605133,130.397414,2014
その他,インドネシア,1.0,IDN,,,2014
新千歳空港,フィリピン,0.0,PHL,42.775,141.692222,2014
仙台空港,フィリピン,0.0,PHL,38.136944,140.9225,2014
東京国際空港（羽田空港）,フィリピン,28.0,PHL,35.553333,139.781111,2014
成田国際空港,フィリピン,164.0,PHL,35.765278,140.385556,2014
中部国際空港,フィリピン,20.0,PHL,34.858333,136.805278,2014
関西国際空港,フィリピン,83.0,PHL,34.434167,135.232778,2014
広島空港,フィリピン,2.0,PHL,34.436111,132.919444,2014
高松空港,フィリピン,0.0,PHL,34.214167,134.015556,2014
福岡空港,フィリピン,12.0,PHL,33.584444,130.451667,2014
那覇空港,フィリピン,0.0,PHL,26.205556,127.650833,2014
博多港,フィリピン,0.0,PHL,33.605133,130.397414,2014
その他,フィリピン,4.0,PHL,,,2014
新千歳空港,ベトナム,0.0,VNM,42.775,141.692222,2014
仙台空港,ベトナム,1.0,VNM,38.136944,140.9225,2014
東京国際空港（羽田空港）,ベトナム,14.0,VNM,35.553333,139.781111,2014
成田国際空港,ベトナム,123.0,VNM,35.765278,140.385556,2014
中部国際空港,ベトナム,18.0,VNM,34.858333,136.805278,2014
関西国際空港,ベトナム,55.0,VNM,34.434167,135.232778,2014
広島空港,ベトナム,1.0,VNM,34.436111,132.919444,2014
高松空港,ベトナム,0.0,VNM,34.214167,134.015556,2014
福岡空港,ベトナム,12.0,VNM,33.584444,130.451667,2014
那覇空港,ベトナム,0.0,VNM,26.205556,127.650833,2014
博多港,ベトナム,0.0,VNM,33.605133,130.397414,2014
その他,ベトナム,1.0,VNM,,,2014
新千歳空港,インド,1.0,IND,42.775,141.692222,2014
仙台空港,インド,0.0,IND,38.136944,140.9225,2014
東京国際空港（羽田空港）,インド,12.0,IND,35.553333,139.781111,2014
成田国際空港,インド,242.0,IND,35.765278,140.385556,2014
中部国際空港,インド,9.0,IND,34.858333,136.805278,2014
関西国際空港,インド,62.0,IND,34.434167,135.232778,2014
広島空港,インド,0.0,IND,34.436111,132.919444,2014
高松空港,インド,0.0,IND,34.214167,134.015556,2014
福岡空港,インド,1.0,IND,33.584444,130.451667,2014
那覇空港,インド,0.0,IND,26.205556,127.650833,2014
博多港,インド,0.0,IND,33.605133,130.397414,2014
その他,インド,4.0,IND,,,2014
新千歳空港,英国,1.0,GBR,42.775,141.692222,2014
仙台空港,英国,0.0,GBR,38.136944,140.9225,2014
東京国際空港（羽田空港）,英国,140.0,GBR,35.553333,139.781111,2014
成田国際空港,英国,545.0,GBR,35.765278,140.385556,2014
中部国際空港,英国,8.0,GBR,34.858333,136.805278,2014
関西国際空港,英国,47.0,GBR,34.434167,135.232778,2014
広島空港,英国,0.0,GBR,34.436111,132.919444,2014
高松空港,英国,0.0,GBR,34.214167,134.015556,2014
福岡空港,英国,3.0,GBR,33.584444,130.451667,2014
那覇空港,英国,1.0,GBR,26.205556,127.650833,2014
博多港,英国,0.0,GBR,33.605133,130.397414,2014
その他,英国,1.0,GBR,,,2014
新千歳空港,ドイツ,1.0,DEU,42.775,141.692222,2014
仙台空港,ドイツ,1.0,DEU,38.136944,140.9225,2014
東京国際空港（羽田空港）,ドイツ,197.0,DEU,35.553333,139.781111,2014
成田国際空港,ドイツ,417.0,DEU,35.765278,140.385556,2014
中部国際空港,ドイツ,32.0,DEU,34.858333,136.805278,2014
関西国際空港,ドイツ,118.0,DEU,34.434167,135.232778,2014
広島空港,ドイツ,0.0,DEU,34.436111,132.919444,2014
高松空港,ドイツ,0.0,DEU,34.214167,134.015556,2014
福岡空港,ドイツ,3.0,DEU,33.584444,130.451667,2014
那覇空港,ドイツ,1.0,DEU,26.205556,127.650833,2014
博多港,ドイツ,0.0,DEU,33.605133,130.397414,2014
その他,ドイツ,2.0,DEU,,,2014
新千歳空港,フランス,1.0,FRA,42.775,141.692222,2014
仙台空港,フランス,0.0,FRA,38.136944,140.9225,2014
東京国際空港（羽田空港）,フランス,98.0,FRA,35.553333,139.781111,2014
成田国際空港,フランス,334.0,FRA,35.765278,140.385556,2014
中部国際空港,フランス,8.0,FRA,34.858333,136.805278,2014
関西国際空港,フランス,79.0,FRA,34.434167,135.232778,2014
広島空港,フランス,0.0,FRA,34.436111,132.919444,2014
高松空港,フランス,0.0,FRA,34.214167,134.015556,2014
福岡空港,フランス,0.0,FRA,33.584444,130.451667,2014
那覇空港,フランス,1.0,FRA,26.205556,127.650833,2014
博多港,フランス,0.0,FRA,33.605133,130.397414,2014
その他,フランス,0.0,FRA,,,2014
新千歳空港,ロシア,32.0,RUS,42.775,141.692222,2014
仙台空港,ロシア,0.0,RUS,38.136944,140.9225,2014
東京国際空港（羽田空港）,ロシア,4.0,RUS,35.553333,139.781111,2014
成田国際空港,ロシア,256.0,RUS,35.765278,140.385556,2014
中部国際空港,ロシア,0.0,RUS,34.858333,136.805278,2014
関西国際空港,ロシア,5.0,RUS,34.434167,135.232778,2014
広島空港,ロシア,1.0,RUS,34.436111,132.919444,2014
高松空港,ロシア,0.0,RUS,34.214167,134.015556,2014
福岡空港,ロシア,1.0,RUS,33.584444,130.451667,2014
那覇空港,ロシア,0.0,RUS,26.205556,127.650833,2014
博多港,ロシア,0.0,RUS,33.605133,130.397414,2014
その他,ロシア,3.0,RUS,,,2014
新千歳空港,米国,3.0,USA,42.775,141.692222,2014
仙台空港,米国,0.0,USA,38.136944,140.9225,2014
東京国際空港（羽田空港）,米国,67.0,USA,35.553333,139.781111,2014
成田国際空港,米国,1239.0,USA,35.765278,140.385556,2014
中部国際空港,米国,40.0,USA,34.858333,136.805278,2014
関西国際空港,米国,138.0,USA,34.434167,135.232778,2014
広島空港,米国,2.0,USA,34.436111,132.919444,2014
高松空港,米国,1.0,USA,34.214167,134.015556,2014
福岡空港,米国,4.0,USA,33.584444,130.451667,2014
那覇空港,米国,7.0,USA,26.205556,127.650833,2014
博多港,米国,2.0,USA,33.605133,130.397414,2014
その他,米国,13.0,USA,,,2014
新千歳空港,カナダ,2.0,CAN,42.775,141.692222,2014
仙台空港,カナダ,0.0,CAN,38.136944,140.9225,2014
東京国際空港（羽田空港）,カナダ,103.0,CAN,35.553333,139.781111,2014
成田国際空港,カナダ,749.0,CAN,35.765278,140.385556,2014
中部国際空港,カナダ,6.0,CAN,34.858333,136.805278,2014
関西国際空港,カナダ,19.0,CAN,34.434167,135.232778,2014
広島空港,カナダ,1.0,CAN,34.436111,132.919444,2014
高松空港,カナダ,1.0,CAN,34.214167,134.015556,2014
福岡空港,カナダ,4.0,CAN,33.584444,130.451667,2014
那覇空港,カナダ,0.0,CAN,26.205556,127.650833,2014
博多港,カナダ,0.0,CAN,33.605133,130.397414,2014
その他,カナダ,6.0,CAN,,,2014
新千歳空港,オーストラリア,10.0,AUS,42.775,141.692222,2014
仙台空港,オーストラリア,0.0,AUS,38.136944,140.9225,2014
東京国際空港（羽田空港）,オーストラリア,27.0,AUS,35.553333,139.781111,2014
成田国際空港,オーストラリア,452.0,AUS,35.765278,140.385556,2014
中部国際空港,オーストラリア,5.0,AUS,34.858333,136.805278,2014
関西国際空港,オーストラリア,100.0,AUS,34.434167,135.232778,2014
広島空港,オーストラリア,1.0,AUS,34.436111,132.919444,2014
高松空港,オーストラリア,0.0,AUS,34.214167,134.015556,2014
福岡空港,オーストラリア,3.0,AUS,33.584444,130.451667,2014
那覇空港,オーストラリア,0.0,AUS,26.205556,127.650833,2014
博多港,オーストラリア,1.0,AUS,33.605133,130.397414,2014
その他,オーストラリア,2.0,AUS,,,2014
新千歳空港,その他,1.0,,42.775,141.692222,2014
仙台空港,その他,0.0,,38.136944,140.9225,2014
東京国際空港（羽田空港）,その他,28.0,,35.553333,139.781111,2014
成田国際空港,その他,146.0,,35.765278,140.385556,2014
中部国際空港,その他,15.0,,34.858333,136.805278,2014
関西国際空港,その他,40.0,,34.434167,135.232778,2014
広島空港,その他,0.0,,34.436111,132.919444,2014
高松空港,その他,0.0,,34.214167,134.015556,2014
福岡空港,その他,3.0,,33.584444,130.451667,2014
那覇空港,その他,0.0,,26.205556,127.650833,2014
博多港,その他,1.0,,33.605133,130.397414,2014
その他,その他,1.0,,,,2014
新千歳空港,全体,1759.0,,42.775,141.692222,2015
函館空港,全体,110.0,,41.77,140.821944,2015
仙台空港,全体,74.0,,38.136944,140.9225,2015
新潟空港,全体,74.0,,37.955833,139.120556,2015
東京国際空港（羽田空港）,全体,4886.0,,35.553333,139.781111,2015
成田国際空港,全体,13954.0,,35.765278,140.385556,2015
小松空港,全体,129.0,,36.393889,136.4075,2015
富士山静岡空港,全体,187.0,,34.796111,138.189444,2015
中部国際空港,全体,1451.0,,34.858333,136.805278,2015
関西国際空港,全体,9362.0,,34.434167,135.232778,2015
広島空港,全体,121.0,,34.436111,132.919444,2015
関門（下関）港,全体,341.0,,33.957889,130.941333,2015
高松空港,全体,92.0,,34.214167,134.015556,2015
福岡空港,全体,3489.0,,33.584444,130.451667,2015
博多港,全体,950.0,,33.605133,130.397414,2015
厳原港,全体,322.0,,34.1977845,129.2913508,2015
鹿児島空港,全体,129.0,,31.8,130.721667,2015
那覇空港,全体,1884.0,,26.205556,127.650833,2015
その他,全体,469.0,,,,2015
新千歳空港,韓国,844.0,KOR,42.775,141.692222,2015
函館空港,韓国,2.0,KOR,41.77,140.821944,2015
仙台空港,韓国,42.0,KOR,38.136944,140.9225,2015
新潟空港,韓国,26.0,KOR,37.955833,139.120556,2015
東京国際空港（羽田空港）,韓国,1947.0,KOR,35.553333,139.781111,2015
成田国際空港,韓国,2469.0,KOR,35.765278,140.385556,2015
小松空港,韓国,39.0,KOR,36.393889,136.4075,2015
富士山静岡空港,韓国,87.0,KOR,34.796111,138.189444,2015
中部国際空港,韓国,501.0,KOR,34.858333,136.805278,2015
関西国際空港,韓国,4003.0,KOR,34.434167,135.232778,2015
広島空港,韓国,42.0,KOR,34.436111,132.919444,2015
関門（下関）港,韓国,330.0,KOR,33.957889,130.941333,2015
高松空港,韓国,59.0,KOR,34.214167,134.015556,2015
福岡空港,韓国,2692.0,KOR,33.584444,130.451667,2015
博多港,韓国,945.0,KOR,33.605133,130.397414,2015
厳原港,韓国,322.0,KOR,34.1977845,129.2913508,2015
鹿児島空港,韓国,93.0,KOR,31.8,130.721667,2015
那覇空港,韓国,1026.0,KOR,26.205556,127.650833,2015
その他,韓国,264.0,KOR,,,2015
新千歳空港,台湾,398.0,TWN,42.775,141.692222,2015
函館空港,台湾,87.0,TWN,41.77,140.821944,2015
仙台空港,台湾,15.0,TWN,38.136944,140.9225,2015
新潟空港,台湾,2.0,TWN,37.955833,139.120556,2015
東京国際空港（羽田空港）,台湾,406.0,TWN,35.553333,139.781111,2015
成田国際空港,台湾,1155.0,TWN,35.765278,140.385556,2015
小松空港,台湾,68.0,TWN,36.393889,136.4075,2015
富士山静岡空港,台湾,26.0,TWN,34.796111,138.189444,2015
中部国際空港,台湾,175.0,TWN,34.858333,136.805278,2015
関西国際空港,台湾,1117.0,TWN,34.434167,135.232778,2015
広島空港,台湾,34.0,TWN,34.436111,132.919444,2015
関門（下関）港,台湾,0.0,TWN,33.957889,130.941333,2015
高松空港,台湾,19.0,TWN,34.214167,134.015556,2015
福岡空港,台湾,287.0,TWN,33.584444,130.451667,2015
博多港,台湾,0.0,TWN,33.605133,130.397414,2015
厳原港,台湾,0.0,TWN,34.1977845,129.2913508,2015
鹿児島空港,台湾,10.0,TWN,31.8,130.721667,2015
那覇空港,台湾,399.0,TWN,26.205556,127.650833,2015
その他,台湾,59.0,TWN,,,2015
新千歳空港,香港,90.0,HKG,42.775,141.692222,2015
